url,img,lines
/inspirational-quotes/4069-we-are-made-wise-not-by-the-recollection-of-our,https://assets.passiton.com/quotes/quote_artwork/4069/medium/20200325_wednesday_quote_alternate.jpg?1584748370,"We are made wise not by the recollection of our past, but by the responsibility for our future. #<Author:0x00007fc11377a1b0>"
/inspirational-quotes/8052-never-mistake-knowledge-for-wisdom-one-helps,https://assets.passiton.com/quotes/quote_artwork/8052/medium/20200324_tuesday_quote.jpg?1584726475,Never mistake knowledge for wisdom. One helps you make a living; the other helps you make a life. #<Author:0x00007fc1137a4ca8>
/inspirational-quotes/6246-the-invariable-mark-of-wisdom-is-to-see-the,https://assets.passiton.com/quotes/quote_artwork/6246/medium/20200323_monday_quote.jpg?1584726442,The invariable mark of wisdom is to see the miraculous in the common. #<Author:0x00007fc1137d17d0>
/inspirational-quotes/6554-life-has-many-ways-of-testing-a-persons-will,https://assets.passiton.com/quotes/quote_artwork/6554/medium/20200320_friday_quote.jpg?1584123864,"Life has many ways of testing a person's will, either by having nothing happen at all or by having everything happen all at once. #<Author:0x00007fc113814b48>"
/inspirational-quotes/7817-difficulties-are-meant-to-rouse-not,https://assets.passiton.com/quotes/quote_artwork/7817/medium/20200319_thursday_quote.jpg?1584123829,"Difficulties are meant to rouse, not discourage. The human spirit is to grow strong by conflict. #<Author:0x00007fc11385b778>"
/inspirational-quotes/6119-we-need-to-remember-that-circumstances-don-t,https://assets.passiton.com/quotes/quote_artwork/6119/medium/20200318_wednesday_quote.jpg?1584123795,"We need to remember that circumstances don’t make a person, they reveal a person.  #<Author:0x00007fc113887710>"
/inspirational-quotes/6739-no-soul-that-aspires-can-ever-fail-to-rise-no,https://assets.passiton.com/quotes/quote_artwork/6739/medium/20200317_tuesday_quote.jpg?1584123766,"No soul that aspires can ever fail to rise; no heart that loves can ever be abandoned. Difficulties exist only that in overcoming them we may grow strong, and they who have suffered are able to save. #<Author:0x00007fc1138b5b88>"
/inspirational-quotes/6940-hardships-often-prepare-ordinary-people-for-an,https://assets.passiton.com/quotes/quote_artwork/6940/medium/20200316_monday_quote_alternate.jpg?1584125137,Hardships often prepare ordinary people for an extraordinary destiny. #<Author:0x00007fc1138e0e00>
/inspirational-quotes/8049-for-beautiful-eyes-look-for-the-good-in,https://assets.passiton.com/quotes/quote_artwork/8049/medium/20200313_friday_quote.jpg?1583521746,"For beautiful eyes, look for the good in others; for beautiful lips, speak only words of kindness; and for poise, walk with the knowledge that you are never alone. #<Author:0x00007fc113917950>"
/inspirational-quotes/8048-beauty-is-the-illumination-of-your-soul,https://assets.passiton.com/quotes/quote_artwork/8048/medium/20200312_thursday_quote.jpg?1583521723,Beauty is the illumination of your soul. #<Author:0x00007fc1136dfca0>
